lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,, 
1,AgriculturalVegetation,62.23,17.33,0.25,0.74,150,150,0,,,,,,,
2,CoastalLagoon,0,0.6,0.02,0.05,150,150,0,,,,,,,
3,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
4,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
5,AgriculturalVegetation,62.23,17.33,0.25,0.74,150,150,0,,,,,,,
6,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
7,PeatBog,5,1.9,0.8,0.4,150,150,0,,,,,,,
8,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
9,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
10,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
11,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
12,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
13,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
14,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
15,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
16,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
17,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
18,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
19,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
20,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
21,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
22,PalmForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
23,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
24,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
25,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
26,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
27,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
28,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
29,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
30,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
31,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
32,PalmSwamp,5,1.9,0.8,0.4,150,150,0,,,,,,,
33,PalmSwamp,5,1.9,0.8,0.4,150,150,0,,,,,,,
34,ClosedEvergreenBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
35,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
36,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
37,ConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
38,DeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
39,DeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
40,SparseTreeCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
41,DeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
42,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
43,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
44,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,
45,DeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
46,EvergreenBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
47,OpenDeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
48,Watercourse,0,0.6,0.02,0.05,150,150,0,,,,,,,
49,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
50,MineralExtraction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
51,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,
52,Estuary,0,0.6,0.02,0.05,150,150,0,,,,,,,
53,Estuary,0,0.6,0.02,0.05,150,150,0,,,,,,,
54,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,
55,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
56,MaritimeWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
57,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
58,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,
59,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
60,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
61,Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,
62,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
63,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
64,SclerophyllousVegetation,6,0.1,0.6,0.5,150,150,0,,,,,,,
65,BambooForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
66,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
67,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,
68,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,
69,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
70,Watercourse,0,0.6,0.02,0.05,150,150,0,,,,,,,
71,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
72,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,
73,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
74,InlandWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
75,SclerophyllousVegetation,6,0.1,0.6,0.5,150,150,0,,,,,,,
